Role,Features
Crisis Communication Manager,4 to 15 Years Public Relations Specialist PhD Crisis communication planning Crisis response Media relations Reputation management Stakeholder communication Develop crisis communication plans and strategies for handling PR crises. Respond to crises and manage public perception and reputation. Provide media training for spokespersons. 78063
Backend Developer,"5 to 14 Years Software Engineer BBA Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django) Develop server-side logic and databases using programming languages like Java, Python, or Node.js. Ensure data security and integrity. Implement APIs for seamless communication between frontend and backend. 98687"
Lighting Designer,"2 to 9 Years Electrical Designer PhD Lighting design Architectural lighting Lighting software proficiency Creative lighting concepts Technical knowledge Specialize in lighting design, creating lighting plans for interiors and exteriors. Select lighting fixtures and systems. Enhance visual appeal and energy efficiency through lighting design. 96530"
Database Administrator,"2 to 13 Years Systems Administrator BA Database management systems (e.g., MySQL, Oracle, SQL Server) Data security Database tuning and optimization Backup and recovery Administer and optimize databases, ensuring data availability and performance. Backup and restore databases. Implement database security and access controls. 132356"
Inventory Control Specialist,"3 to 14 Years Inventory Analyst BA Inventory management Stock control Demand forecasting Inventory tracking systems Supply chain coordination Problem-solving skills Manage inventory levels, track stock movements, and optimize inventory turnover. Conduct regular inventory counts and reconcile discrepancies. Ensure accurate and efficient inventory management. 45037"
Personal Tax Consultant,3 to 10 Years Tax Consultant B.Tech Tax law knowledge Individual tax planning Tax return preparation Tax deductions and credits Tax compliance IRS regulations Client relationship management Communication skills Attention to detail Tax software proficiency Assist individuals and families with personal income tax planning and compliance. Prepare and file tax returns. Provide tax advice and financial planning. 129054
Market Research Analyst,"3 to 10 Years Research Analyst B.Tech Market research methodologies Data collection and analysis Consumer behavior analysis Competitor analysis Survey design and analysis Statistical analysis software (e.g., SPSS, SAS) Data visualization Trend analysis Report writing Communication skills Attention to detail Conduct market research to gather data on consumer behavior, market trends, and competitive analysis. Analyze research findings and generate actionable insights. Prepare research reports and presentations. 102698"
Database Security Specialist,0 to 14 Years Database Administrator B.Tech Database security measures Data encryption and access control Security compliance Vulnerability assessment Database auditing and monitoring Implement and maintain security measures to protect databases from unauthorized access and cyber threats. Monitor and audit database activity. Ensure compliance with data protection regulations. 31911
Infrastructure Manager,"0 to 11 Years IT Manager M.Tech Network administration System administration Virtualization technologies (e.g., VMware, Hyper-V) Storage management IT security Disaster recovery planning Capacity planning Monitoring and troubleshooting Cloud infrastructure (e.g., AWS, Azure) Vendor management Manage IT infrastructure, including servers, networks, and data centers. Ensure high availability, security, and scalability of IT systems. Plan and implement technology upgrades. 35185"
Corporate Attorney,"4 to 8 Years Legal Counsel MCA Corporate law and regulations Contract drafting and negotiation Legal research and analysis Risk management Excellent communication and negotiation skills Provide legal advice and guidance on corporate matters, contracts, and regulatory compliance. Draft and review legal documents and agreements. Represent the company in legal proceedings. 45198"
NoSQL Database Engineer,"3 to 10 Years Database Developer BBA NoSQL databases (e.g., MongoDB, Cassandra) Data modeling Data migration Performance tuning Scalability Distributed systems Work with NoSQL databases like MongoDB or Cassandra to store and retrieve data efficiently. Design data models for NoSQL databases. Ensure data availability and scalability. 59888"
Geriatric Occupational Therapist,"1 to 11 Years Occupational Therapist BA Geriatric assessment and evaluation Geriatric-specific occupational therapy techniques Aging-related conditions (e.g., dementia, arthritis) Fall prevention strategies Care coordination with healthcare teams Assistive technology for seniors Patient advocacy Empathy and compassion Communication skills Focus on older adults, helping them regain independence and adapt to age-related challenges. Conduct assessments and recommend assistive devices. Enhance quality of life through therapy interventions. 46249"
Real Estate Paralegal,"5 to 9 Years Paralegal PhD Real estate transactions Title searches Closing processes Deed preparation Contract review Communication with real estate professionals Attention to detail Real estate terminology Technology proficiency Legal software proficiency Legal research skills Specialize in real estate transactions, including title searches, closings, and document preparation. Research property records and zoning regulations. Coordinate real estate transactions. 119839"
Industrial Engineer,"1 to 8 Years Process Engineer M.Com Industrial engineering Process optimization Lean manufacturing Quality control Data analysis Workflow design Focus on industrial processes and systems. Streamline operations, reduce waste, and improve productivity. Implement lean and Six Sigma methodologies. 113375"
Print Graphic Designer,"0 to 11 Years Graphic Designer BA Print design software (e.g., Adobe InDesign, Illustrator) Layout and composition Print production processes Color theory and management Attention to detail Print industry knowledge Design printed materials such as brochures, posters, and packaging. Choose appropriate printing methods and materials. Collaborate with print vendors and ensure quality output. 39870"
User Interface Designer,"1 to 14 Years UX/UI Designer M.Tech UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design Create visually appealing user interfaces (UI) that align with brand aesthetics and enhance user engagement. Design interface elements and interactive components. Ensure UI consistency across digital platforms. 110685"
Frontend Web Developer,"3 to 14 Years Web Developer M.Com HTML, CSS, JavaScript Frontend frameworks (e.g., React, Angular) User experience (UX) Design and code user interfaces for websites, ensuring a seamless and visually appealing user experience. Collaborate with UX designers to optimize user journeys. Ensure cross-browser compatibility and responsive design. 73846"
Trial Attorney,"2 to 9 Years Litigation Attorney M.Com Litigation Legal research Courtroom representation Case preparation Client counseling Legal writing Represent clients in civil or criminal trials, presenting cases in court. Prepare legal arguments and cross-examine witnesses. Negotiate settlements when possible. 61112"
IT Project Manager,"1 to 12 Years Project Manager BBA Project management Team leadership Risk management Budgeting Communication skills Plan and oversee IT projects, manage project teams, and ensure successful project delivery within scope, time, and budget. Define project objectives and requirements. Monitor project progress and risks. 107191"
Social Science Researcher,"2 to 9 Years Research Analyst MBA Social science research methods Qualitative and quantitative data analysis Survey design and implementation Ethnographic research Interviewing skills Research ethics Statistical software (e.g., Stata, NVivo) Report writing Communication skills Critical thinking Empathy Conduct research in social sciences, gathering and analyzing data on social phenomena, human behavior, and public policy. Publish research findings in academic journals. Contribute to social science research projects. 116449"
Digital Marketing Manager,"5 to 15 Years Marketing Manager M.Com Digital marketing strategies SEO and SEM Social media marketing Email marketing campaigns Content marketing Web analytics (e.g., Google Analytics) Marketing automation tools (e.g., HubSpot, Marketo) Develop and execute digital marketing strategies, including SEO, email marketing, and social media campaigns. Analyze digital marketing metrics and adjust strategies as needed. Manage digital marketing budgets. 117775"
Database Security Specialist,2 to 8 Years Database Administrator MCA Database security measures Data encryption and access control Security compliance Vulnerability assessment Database auditing and monitoring Implement and maintain security measures to protect databases from unauthorized access and cyber threats. Monitor and audit database activity. Ensure compliance with data protection regulations. 32648
Research Analyst,"3 to 11 Years Research Scientist M.Tech Data collection and analysis Market research tools and techniques Survey design and analysis Qualitative and quantitative research methods Report writing and presentation skills Collect and compile data from various sources. Assist in the preparation of research proposals and project documentation. Support research activities, literature reviews, and data validation. 20268"
Family Counselor,0 to 11 Years Substance Abuse Counselor BA Family counseling Marriage and family therapy Conflict resolution skills Work with the families of individuals facing substance abuse challenges. Provide education and therapy to improve family dynamics and support networks. Collaborate with treatment teams. 103438
NoSQL Database Engineer,"1 to 8 Years Database Developer M.Com NoSQL databases (e.g., MongoDB, Cassandra) Data modeling Data migration Performance tuning Scalability Distributed systems Work with NoSQL databases like MongoDB or Cassandra to store and retrieve data efficiently. Design data models for NoSQL databases. Ensure data availability and scalability. 36215"
Social Media Manager,"0 to 15 Years Digital Marketing Specialist MCA Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising Manage and grow social media accounts, create engaging content, and interact with the online community. Develop social media content calendars and strategies. Monitor social media trends and engagement metrics. 54480"
Brand PR Specialist,5 to 10 Years Public Relations Specialist M.Tech Brand management Public relations Brand storytelling Influencer marketing Media monitoring Promote and protect the brands image and reputation. Develop PR campaigns and brand messaging. Monitor and analyze PR campaign performance. 34066
Corporate Paralegal,"4 to 15 Years Paralegal MBA Corporate legal tasks Document drafting Compliance Corporate governance Contract management Due diligence Entity formation Communication with stakeholders Attention to detail Technology proficiency Legal software proficiency Legal research skills Support corporate legal matters, including mergers and acquisitions, contract drafting, and compliance. Maintain corporate records and filings. Assist in due diligence processes. 23223"
Technical Support Specialist,"1 to 10 Years Customer Support Specialist PhD Technical troubleshooting Customer support tools (e.g., Zendesk, Freshdesk) Communication skills Problem-solving and critical thinking Ticket management Knowledge base creation Provide technical assistance to customers, troubleshoot issues, and resolve inquiries through various communication channels. Maintain accurate records of customer interactions and solutions. Collaborate with other support teams for complex issues. 53904"
User Experience Designer,"1 to 11 Years UX/UI Designer BA User-centered design principles UX/UI design tools (e.g., Sketch, Adobe XD) Wireframing and prototyping Usability testing and user research Information architecture and user flows Design and improve user experiences (UX) by creating intuitive and user-friendly interfaces for websites and applications. Conduct user research and usability testing. Collaborate with stakeholders to gather and incorporate feedback. 78457"
Litigation Support Specialist,"1 to 13 Years Legal Assistant PhD E-discovery tools and processes Document review and production Litigation support software (e.g., Relativity) Data analysis Case management Communication with legal teams Technical proficiency Attention to detail Problem-solving Legal research skills Specialize in eDiscovery and managing electronic documents for litigation. Collect, review, and produce electronic evidence. Collaborate with legal teams on case strategies. 113202"
Small Animal Veterinarian,"3 to 12 Years Veterinarian B.Com Veterinary medicine Small animal care and surgery Animal diagnostics Preventive medicine Client communication Surgical skills Radiology Anesthesia Laboratory diagnostics Compassion and empathy Problem-solving Attention to detail Diagnose and treat illnesses and injuries in domestic pets, such as dogs and cats. Perform surgeries, vaccinations, and routine check-ups. Provide pet owners with medical advice and care plans. 28841"
Content Marketing Manager,2 to 15 Years Marketing Specialist BA Content strategy Content creation Blog management Content promotion SEO Analytics and reporting Create and curate engaging and relevant content for various marketing materials and platforms. Develop content calendars and distribution strategies. Measure and report content marketing success. 98374
Account Manager,"5 to 9 Years Customer Success Manager B.Com Account management Customer relationship management Sales and negotiation Business development Client needs analysis Build and nurture relationships with key clients, understanding their business goals. Identify opportunities for upselling or cross-selling products or services. Ensure client satisfaction and retention. 131700"
Benefits Coordinator,"4 to 15 Years HR Coordinator B.Com Employee benefits administration Benefits compliance HRIS Benefits communication Administer employee benefits programs, respond to benefits inquiries, and process benefit changes. Collaborate with benefits providers and brokers. Educate employees on available benefits. 106887"
Mediator,1 to 15 Years Family Lawyer M.Com Mediation Conflict resolution Negotiation Communication skills Neutrality Problem-solving Legal knowledge Mediation techniques Facilitate mediation and alternative dispute resolution (ADR) processes to help clients reach mutually agreeable resolutions. Maintain neutrality and guide parties toward compromise. Draft mediation agreements. 33888
Account Strategist,3 to 14 Years Account Director PhD Account management Client relations Marketing strategies Campaign optimization Data analysis Communication skills Develop account strategies and marketing plans to achieve client objectives. Analyze campaign performance data and provide strategic recommendations. Collaborate with cross-functional teams. 61467
Accounting Manager,"4 to 12 Years Finance Manager BA Accounting principles Financial reporting Team management Budgeting Financial analysis Manage accounting functions, including financial reporting and compliance. Ensure accurate and timely financial statements. Oversee audits and tax filings. 14881"
Urban Planner,"5 to 12 Years Landscape Architect B.Com Urban design and planning Zoning regulations GIS and mapping tools Plan and design urban spaces, parks, and recreational areas. Consider sustainability and community needs in design. Collaborate with city planners and architects. 133016"
Primary Care Nurse Practitioner,"2 to 8 Years Nurse Practitioner MBA Nursing care Patient assessment Health promotion Medication administration Electronic health records (EHR) Provide comprehensive primary healthcare services, including assessments, diagnoses, and treatments. Educate patients on health management and prevention. Prescribe medications and develop care plans. 25037"
Commercial Landscape Architect,"1 to 10 Years Landscape Designer BCA Landscape architecture Site planning Plant selection Environmental sustainability AutoCAD Project management Plan and design outdoor spaces for commercial and public projects, such as parks, resorts, and urban developments. Manage project budgets and timelines. Collaborate with architects and contractors. 46127"
Sales Manager,"3 to 9 Years Business Development Manager B.Tech Sales management Sales strategy development Team leadership Lead and manage a sales team, set sales goals, and develop sales strategies. Identify new business opportunities and target markets. Build and maintain client relationships. 133513"
Help Desk Analyst,"2 to 9 Years Customer Support Specialist M.Tech Help desk support Ticket resolution IT troubleshooting Customer service skills Technical knowledge Documentation and knowledge base maintenance Communication and interpersonal skills Respond to help desk tickets, assist users, and escalate issues as needed to ensure timely resolution. Document and track support requests and resolutions. Provide training and guidance to end-users. 67708"
Wedding Planner,"5 to 10 Years Event Planner MCA Wedding planning Venue selection Catering and menu planning Floral and decor design Wedding etiquette Specialize in wedding planning, assisting couples in creating their dream weddings. Select and manage vendors, plan ceremonies, and handle wedding day coordination. Provide creative and budget-conscious solutions. 49926"
Inside Sales Representative,"0 to 12 Years Sales Representative B.Com Sales prospecting and lead generation Sales presentation and communication CRM software (e.g., Salesforce) Sales negotiation and closing techniques Product knowledge Relationship building Identify and qualify sales leads, conduct sales presentations, and close deals through phone and email. Maintain accurate sales records and reports. Provide excellent customer service throughout the sales process. 83990"
Sustainable Design Specialist,3 to 13 Years Architect B.Tech Sustainable design principles Energy efficiency LEED certification Green building materials Environmental impact assessment Focus on sustainable and eco-friendly architectural practices. Integrate green building technologies and materials into architectural designs. Advise on energy-efficient building solutions. 65653
Data Business Analyst,"5 to 8 Years Business Analyst MBA Data analysis Data modeling Data visualization SQL Data tools (e.g., Tableau) Focus on data analysis, data modeling, and data visualization to support business decision-making. Develop and maintain data dictionaries and metadata. Collaborate with data engineers and analysts. 94614"
Network Security Specialist,"4 to 8 Years Network Technician BA Network security Cybersecurity Intrusion detection Security analysis Firewall management Focus on network security, implementing measures to protect against cyber threats. Monitor network traffic for anomalies and security breaches. Conduct security audits and recommend improvements. 85234"
Child Custody Lawyer,"1 to 10 Years Family Lawyer BCA Child custody law Family law Legal advocacy Negotiation Court representation Legal research Client counseling Case preparation Specialize in child custody cases, advocating for the best interests of children. Conduct investigations, gather evidence, and present cases in court. Negotiate parenting plans and visitation schedules. 30118"
Technical Support Specialist,"0 to 14 Years Customer Support Specialist BBA Technical troubleshooting Customer support tools (e.g., Zendesk, Freshdesk) Communication skills Problem-solving and critical thinking Ticket management Knowledge base creation Provide technical assistance to customers, troubleshoot issues, and resolve inquiries through various communication channels. Maintain accurate records of customer interactions and solutions. Collaborate with other support teams for complex issues. 83503"
Demand Planner,4 to 8 Years Supply Chain Manager M.Com Demand forecasting Inventory management Data analysis Sales and operations planning (S&OP) ERP software proficiency Analyze demand patterns and market trends to forecast product demand. Collaborate with production and sales teams to optimize inventory levels. Implement demand planning and forecasting tools. 26222
Benefits Coordinator,"1 to 12 Years HR Coordinator B.Tech Employee benefits administration Benefits compliance HRIS Benefits communication Administer employee benefits programs, respond to benefits inquiries, and process benefit changes. Collaborate with benefits providers and brokers. Educate employees on available benefits. 21332"
Controls Engineer,1 to 14 Years Electrical Engineer B.Tech Control system design PLC programming Automation Instrumentation System integration Design and implement control systems for industrial automation and robotics. Program PLCs (Programmable Logic Controllers) and HMI (Human-Machine Interface) systems. Troubleshoot control system issues. 106846
General Pediatrician,"5 to 10 Years Pediatrician BCA Pediatrics Pediatric care Diagnosis and treatment Pediatric medical procedures Patient care Communication skills Provide primary healthcare to infants, children, and adolescents. Conduct well-child check-ups, vaccinations, and screenings. Diagnose and treat illnesses and injuries in pediatric patients. 86757"
Facilities Manager,"2 to 13 Years Office Manager M.Com Facilities management Property maintenance Space planning Budget management Health and safety compliance Vendor management Manage office facilities, including maintenance and space planning. Ensure workplace safety and compliance. Oversee office renovations and improvements. 101798"
Pediatric Physical Therapist,0 to 10 Years Physical Therapist M.Com Pediatric rehabilitation Developmental assessments Child psychology knowledge Work with children with developmental or physical disabilities. Provide therapy to improve mobility and motor skills. Collaborate with parents and caregivers. 128165
Pediatric Surgeon,"0 to 11 Years Pediatrician M.Tech Pediatric surgery Surgical procedures for children Operating room protocols Patient care Surgical techniques Pediatric anesthesia Perform surgical procedures on pediatric patients, including congenital abnormalities and injuries. Coordinate pre-operative and post-operative care. Ensure the well-being and recovery of young patients. 119755"
Demand Planner,1 to 12 Years Supply Chain Manager B.Tech Demand forecasting Inventory management Data analysis Sales and operations planning (S&OP) ERP software proficiency Analyze demand patterns and market trends to forecast product demand. Collaborate with production and sales teams to optimize inventory levels. Implement demand planning and forecasting tools. 17732
Electronics Hardware Engineer,2 to 12 Years Electrical Engineer B.Tech Electronics design PCB layout Embedded systems Circuit analysis Troubleshooting Develop electronic hardware components and circuits for various applications. Conduct testing and validation of electronic systems. Collaborate with cross-functional teams on product development. 33343
Investment Advisor,1 to 14 Years Financial Advisor B.Com Investment strategies Portfolio management Financial planning Risk assessment Regulatory compliance Provide investment advice and portfolio management services. Assess clients financial goals and risk tolerance. Monitor market trends and recommend investment strategies. 34365
Digital Marketing Specialist,"1 to 10 Years Marketing Specialist MCA Digital marketing strategy Social media marketing Content creation SEO (Search Engine Optimization) PPC advertising Analytics and reporting Develop and implement digital marketing campaigns across various channels, including SEO, SEM, and social media. Analyze campaign performance and adjust strategies for optimization. Manage digital advertising budgets. 35195"
Visual Designer,"3 to 8 Years Art Director MBA Graphic design Typography User interface (UI) design Adobe Creative Suite proficiency Branding and visual identity creation Create visual concepts and designs for various media, such as print, digital, and advertising campaigns. Use graphic design software and tools to produce high-quality visuals. Collaborate with art and design teams to execute projects. 76824"
Cloud Systems Engineer,"4 to 9 Years Systems Engineer B.Tech Cloud systems engineering Cloud infrastructure (e.g., AWS, Azure) DevOps practices Automation Security in the cloud Disaster recovery Scalability Focus on cloud computing solutions, including AWS or Azure. Design, deploy, and manage cloud-based infrastructure and services. Optimize cloud resources and cost efficiency. 120356"
Network Security Analyst,"2 to 12 Years Network Administrator PhD Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail Manage and secure computer networks, including firewalls and intrusion detection systems. Monitor network traffic for security threats. Implement security policies and procedures. 48609"
Backend Developer,"5 to 10 Years Software Engineer BBA Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django) Develop server-side logic and databases using programming languages like Java, Python, or Node.js. Ensure data security and integrity. Implement APIs for seamless communication between frontend and backend. 126086"
Trial Attorney,"2 to 8 Years Litigation Attorney MBA Litigation Legal research Courtroom representation Case preparation Client counseling Legal writing Represent clients in civil or criminal trials, presenting cases in court. Prepare legal arguments and cross-examine witnesses. Negotiate settlements when possible. 120115"
Interaction Designer,"0 to 10 Years UX/UI Designer B.Tech Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes Work on interaction design, defining how users interact with digital products and ensuring a seamless user journey. Create wireframes and prototypes to illustrate interactions. Collaborate with developers to implement interaction designs. 26667"
Clinical Psychologist,"0 to 9 Years Psychologist BA Clinical psychology Counseling skills Assessment tools Diagnostic skills Empathy and listening skills Provide therapy and counseling services to individuals, couples, and families. Conduct psychological assessments and diagnoses. Develop treatment plans and provide ongoing support. 102911"
Pediatric Speech Therapist,"2 to 11 Years Speech Therapist B.Tech Pediatric speech therapy Speech-language assessment Individualized treatment plans Child development Communication skills Assess and treat speech and language disorders in children. Provide therapy for articulation, language development, and communication skills. Collaborate with parents and educators. 103519"
Digital Marketing Specialist,"3 to 12 Years Marketing Specialist B.Tech Digital marketing strategy Social media marketing Content creation SEO (Search Engine Optimization) PPC advertising Analytics and reporting Develop and implement digital marketing campaigns across various channels, including SEO, SEM, and social media. Analyze campaign performance and adjust strategies for optimization. Manage digital advertising budgets. 24797"
Digital Marketing Manager,"2 to 8 Years Marketing Manager M.Com Digital marketing strategies SEO and SEM Social media marketing Email marketing campaigns Content marketing Web analytics (e.g., Google Analytics) Marketing automation tools (e.g., HubSpot, Marketo) Develop and execute digital marketing strategies, including SEO, email marketing, and social media campaigns. Analyze digital marketing metrics and adjust strategies as needed. Manage digital marketing budgets. 82140"
Frontend Developer,"1 to 10 Years Software Engineer MCA Proficiency in HTML, CSS, and JavaScript Experience with frontend frameworks like React, Angular, or Vue.js Responsive web design Cross-browser compatibility Version control (e.g., Git) Frontend performance optimization Design and implement user interfaces for web applications using HTML, CSS, and JavaScript. Collaborate with UX designers to ensure a user-friendly experience. Optimize applications for speed and responsiveness. 83426"
Backend Developer,"4 to 8 Years Software Engineer PhD Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django) Develop server-side logic and databases using programming languages like Java, Python, or Node.js. Ensure data security and integrity. Implement APIs for seamless communication between frontend and backend. 130165"
Trial Attorney,"4 to 10 Years Litigation Attorney MBA Litigation Legal research Courtroom representation Case preparation Client counseling Legal writing Represent clients in civil or criminal trials, presenting cases in court. Prepare legal arguments and cross-examine witnesses. Negotiate settlements when possible. 107275"
Industrial Designer,"0 to 14 Years Product Designer BBA Industrial design principles CAD and 3D modeling Prototyping and testing Focus on the physical design and aesthetics of products. Develop product concepts, sketches, and 3D models. Collaborate with engineers for product feasibility. 90301"
Logistics Manager,"5 to 15 Years Supply Chain Manager B.Com Supply chain management Inventory control Transportation logistics Vendor relations Team leadership and management Manage the transportation and distribution of goods. Optimize supply chain efficiency, reduce costs, and minimize delivery times. Monitor inventory levels and warehouse operations. 21849"
Frontend Web Developer,"2 to 8 Years Web Developer B.Tech HTML, CSS, JavaScript Frontend frameworks (e.g., React, Angular) User experience (UX) Design and code user interfaces for websites, ensuring a seamless and visually appealing user experience. Collaborate with UX designers to optimize user journeys. Ensure cross-browser compatibility and responsive design. 50419"
Frontend Developer,"2 to 13 Years Software Engineer BBA Proficiency in HTML, CSS, and JavaScript Experience with frontend frameworks like React, Angular, or Vue.js Responsive web design Cross-browser compatibility Version control (e.g., Git) Frontend performance optimization Design and implement user interfaces for web applications using HTML, CSS, and JavaScript. Collaborate with UX designers to ensure a user-friendly experience. Optimize applications for speed and responsiveness. 62974"
SEM Analyst,5 to 15 Years SEM Specialist BA Search engine marketing (SEM) Google Ads Bing Ads Keyword analysis Ad performance analysis SEM strategy development Bid management Analyze SEM data and trends to optimize campaigns and ad spend. Generate reports and insights to improve SEM strategies. Stay up-to-date with SEM industry changes and best practices. 43143
Personal Secretary,"1 to 10 Years Personal Assistant B.Tech Administrative support Calendar management Communication skills Time management Organizational skills Confidentiality Act as a personal secretary, managing personal appointments and tasks. Handle correspondence and communication on behalf of the employer. Organize personal schedules and commitments. 32239"
Frontend Developer,"5 to 9 Years Software Engineer BCA Proficiency in HTML, CSS, and JavaScript Experience with frontend frameworks like React, Angular, or Vue.js Responsive web design Cross-browser compatibility Version control (e.g., Git) Frontend performance optimization Design and implement user interfaces for web applications using HTML, CSS, and JavaScript. Collaborate with UX designers to ensure a user-friendly experience. Optimize applications for speed and responsiveness. 114102"
Network Engineer,"2 to 10 Years Network Administrator B.Com Network infrastructure design Routing and switching Network protocols (e.g., TCP/IP) Cisco or Juniper certifications Troubleshooting and diagnostics Security protocols Wireless networking Network monitoring Collaboration Problem-solving Attention to detail Design, configure, and maintain network infrastructure. Troubleshoot network issues and optimize performance. Collaborate with IT teams on network projects. 80830"
Commercial Landscape Architect,"2 to 11 Years Landscape Designer MCA Landscape architecture Site planning Plant selection Environmental sustainability AutoCAD Project management Plan and design outdoor spaces for commercial and public projects, such as parks, resorts, and urban developments. Manage project budgets and timelines. Collaborate with architects and contractors. 110061"
Business Intelligence Analyst,"4 to 9 Years Data Analyst BCA Data analysis and visualization tools (e.g., Tableau, Power BI) SQL and database querying Business intelligence concepts Data modeling and reporting Strong analytical and problem-solving skills Data-driven decision-making Gather and analyze data to provide insights for decision-making using tools like Tableau or Power BI. Create data visualizations and reports. Identify trends and patterns in data. 134481"
Wedding Consultant,1 to 13 Years Wedding Planner B.Tech Wedding planning Vendor coordination Event management Offer expert advice and guidance to couples planning their weddings. Assist with wedding theme and design selection. Coordinate and negotiate with vendors. 52630
Marketing Automation Specialist,"4 to 14 Years Email Marketing Specialist B.Com Marketing automation platforms (e.g., Marketo, Pardot) Lead nurturing Workflow automation CRM integration Analytics and reporting Email marketing Campaign optimization Marketing strategy Communication skills Problem-solving Attention to detail Set up and manage marketing automation platforms. Create workflows and lead nurturing programs. Monitor and report on marketing automation performance. 133571"
Backend Developer,"0 to 9 Years Software Engineer B.Com Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django) Develop server-side logic and databases using programming languages like Java, Python, or Node.js. Ensure data security and integrity. Implement APIs for seamless communication between frontend and backend. 57070"
Account Executive,"4 to 8 Years Sales Representative PhD Sales strategy and planning Account management Customer relationship management Solution selling Sales forecasting Contract negotiation Sales metrics and reporting Manage client accounts, negotiate contracts, and achieve revenue targets by selling products or services. Provide ongoing support and solutions to clients. Collaborate with cross-functional teams to meet client needs. 41567"
Systems Integration Specialist,"0 to 15 Years Systems Engineer BA Systems integration Integration architecture Data mapping Middleware technologies API integration System testing Troubleshooting Integrate various software and hardware systems within an organization, ensuring seamless data flow and interoperability. Collaborate with software developers and IT teams on integration projects. 101182"
User Researcher,"3 to 15 Years UX Researcher BCA User research methods Usability testing Data analysis and interpretation Conduct user research to understand user behavior, needs, and preferences. Plan and execute user interviews, surveys, and usability studies. Analyze research findings and generate insights. 94639"
Financial Planner,"0 to 11 Years Financial Analyst M.Com Financial planning Investment strategy Retirement planning Tax knowledge Assist clients with financial planning, investment strategies, and retirement planning. Conduct comprehensive financial assessments. Provide personalized financial advice and recommendations. 38697"
Database Administrator,"4 to 13 Years Systems Administrator MCA Database management systems (e.g., MySQL, Oracle, SQL Server) Data security Database tuning and optimization Backup and recovery Administer and optimize databases, ensuring data availability and performance. Backup and restore databases. Implement database security and access controls. 39278"
Desktop Support Technician,"0 to 9 Years IT Support Specialist BBA Desktop hardware and software troubleshooting Operating system expertise (e.g., Windows, macOS) Remote desktop support Hardware and software upgrades Customer service skills Install, configure, and maintain desktop computers and peripherals. Perform hardware and software upgrades and repairs. Manage IT inventory and asset tracking. 41293"
Procurement Analyst,0 to 10 Years Procurement Manager M.Tech Procurement processes Vendor assessment Contract negotiation Purchase order management Spend analysis Market research Supplier relationship management Data analysis Problem-solving Attention to detail Communication skills Financial acumen Analyze procurement data and trends to support decision-making. Conduct supplier evaluations and performance assessments. Assist in procurement planning and forecasting. 105241
Frontend Developer,"0 to 11 Years Software Engineer BBA Proficiency in HTML, CSS, and JavaScript Experience with frontend frameworks like React, Angular, or Vue.js Responsive web design Cross-browser compatibility Version control (e.g., Git) Frontend performance optimization Design and implement user interfaces for web applications using HTML, CSS, and JavaScript. Collaborate with UX designers to ensure a user-friendly experience. Optimize applications for speed and responsiveness. 105755"
IT Systems Administrator,"5 to 8 Years IT Support Specialist MCA Network administration System and server maintenance Cybersecurity knowledge Backup and recovery IT project management skills Administer and maintain IT systems, servers, and networks. Implement security measures, backups, and disaster recovery plans. Monitor system performance and resolve issues proactively. 38138"
Network Administrator,"1 to 10 Years Network Engineer BA Network management Troubleshooting Network security IT certifications (e.g., CCNA) Manage and maintain computer networks, troubleshoot network issues, and ensure network availability and performance. Implement network security measures and policies. Monitor network traffic and optimize performance. 130334"
Email Campaign Manager,"5 to 10 Years Email Marketing Specialist BBA Email marketing strategies Email marketing platforms (e.g., MailChimp, HubSpot) Audience segmentation A/B testing Campaign analytics Copywriting HTML/CSS for email Marketing automation Communication skills Data analysis Attention to detail Plan and execute email marketing campaigns, including segmenting lists and scheduling sends. Create compelling email content and visuals. Analyze email performance and optimize campaigns. 106185"
Social Media Manager,"5 to 12 Years Digital Marketing Specialist BA Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising Manage and grow social media accounts, create engaging content, and interact with the online community. Develop social media content calendars and strategies. Monitor social media trends and engagement metrics. 97309"
Wealth Management Advisor,"3 to 14 Years Financial Advisor MBA Wealth management strategies Asset allocation Estate planning Tax management Client relationship management Manage high-net-worth clients financial portfolios and assets. Offer comprehensive wealth management services, including estate planning and asset allocation. Provide personalized financial guidance. 67621"
